=== sofia_trace: ioctl + segv tracer ===
[tracer] child started, tracing syscalls...
IOC #197 fd=9 cmd=0x40046f00 arg=0x00bb6e1c = 0x0
IOC #198 fd=9 cmd=0x80047652 arg=0x7e819744 = 0x0
IOC #199 fd=9 cmd=0x40046f00 arg=0x00bb6e6c = 0x0
IOC #200 fd=9 cmd=0x80047652 arg=0x7e819744 = 0x0
IOC #201 fd=9 cmd=0x40046f00 arg=0x00bb6ebc = 0x0
IOC #202 fd=20 cmd=0x00005401 arg=0x7e819974 = 0xffffffe7
IOC #203 fd=20 cmd=0x00005401 arg=0x7e819974 = 0xffffffe7
IOC #204 fd=9 cmd=0x80047670 arg=0x7e819a44 = 0x0
IOC #205 fd=9 cmd=0xc004652a arg=0x7e819a38 = 0x0
IOC #206 fd=9 cmd=0xc004652a arg=0x7e819a38 = 0x0
IOC #207 fd=9 cmd=0xc004652a arg=0x7e819a38 = 0x0
IOC #208 fd=9 cmd=0xc004652a arg=0x7e819a38 = 0x0
IOC #209 fd=9 cmd=0x40046541 arg=0x00000001 = 0x0
IOC #210 fd=9 cmd=0x80047670 arg=0x7e819a44 = 0x0
IOC #211 fd=9 cmd=0xc004652a arg=0x7e819a38 = 0x0
IOC #212 fd=9 cmd=0xc004652a arg=0x7e819a38 = 0x0
IOC #213 fd=9 cmd=0xc004652a arg=0x7e819a38 = 0x0
IOC #214 fd=9 cmd=0xc004652a arg=0x7e819a38 = 0x0
IOC #215 fd=9 cmd=0x40046541 arg=0x00000002 = 0x0
IOC #216 fd=13 cmd=0x40045902 arg=0x7e819aec = 0x0
IOC #217 fd=22 cmd=0x00008927 arg=0x7e819ad0 = 0x0
IOC #218 fd=22 cmd=0x00005401 arg=0x7e819a54 = 0x0
IOC #219 fd=22 cmd=0x0000540b arg=0x00000002 = 0x0
IOC #220 fd=22 cmd=0x00005402 arg=0x7e819a4c = 0x0
IOC #221 fd=22 cmd=0x00005401 arg=0x7e819a4c = 0x0
IOC #222 fd=9 cmd=0x80047670 arg=0x7e819ae4 = 0x0
IOC #223 fd=9 cmd=0xc004652a arg=0x7e819ad8 = 0x0
IOC #224 fd=9 cmd=0xc004652a arg=0x7e819ad8 = 0x0
IOC #225 fd=9 cmd=0xc004652a arg=0x7e819ad8 = 0x0
IOC #226 fd=9 cmd=0xc004652a arg=0x7e819ad8 = 0x0
IOC #227 fd=9 cmd=0x40046541 arg=0x00000004 = 0x0
IOC #228 fd=23 cmd=0x00005401 arg=0x7e819a0c = 0xffffffe7
